--- When using SR data, please cite us and provide a link and/or a mention.


 
Rk,Player,WS,Draft Team,Round,Pick,Draft Year,College,From,To,Age,G,GS,AS,WS,ORtg,DRtg,OWS,DWS,WS/48,OBPM,DBPM,BPM,VORP,PER,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Pos,Team,Player-additional
76,Hedo Türkoğlu,63.3,SAC,1,16,2000,,2000-01,2014-15,21-35,997,571,0,63.3,108,105,32.4,30.9,.114,0.5,0.4,0.9,19.6,14.3,2.8,13.9,8.5,17.3,1.5,0.8,13.4,20.1,F,LACORLPHOSACSASTOR,turkohe01
77,Tayshaun Prince,63.1,DET,1,23,2002,Kentucky,2002-03,2015-16,22-35,1017,902,0,63.1,108,108,35.0,28.0,.096,0.5,-0.2,0.3,18.0,13.7,4.2,12.2,8.1,12.8,1.0,1.2,8.8,17.8,F,BOSDETMEMMIN,princta01
78,Joakim Noah,61.9,CHI,1,9,2007,Florida,2007-08,2019-20,22-34,672,512,2,61.9,112,100,27.7,34.2,.159,0.4,2.1,2.5,20.9,17.6,13.0,23.4,18.2,16.1,1.5,3.6,17.2,16.0,C,CHILACMEMNYK,noahjo01
79,Rajon Rondo,61.8,PHO,1,21,2006,Kentucky,2006-07,2021-22,20-35,957,733,4,61.8,104,104,19.9,41.9,.104,0.3,1.0,1.2,23.2,15.8,3.8,13.5,8.7,40.6,2.7,0.4,21.7,18.9,G,ATLBOSCHICLEDALLACLALNOPSAC,rondora01
80,Kevin Martin,61.3,SAC,1,26,2004,Western Carolina,2004-05,2015-16,21-32,714,504,0,61.3,115,111,49.3,12.0,.137,2.1,-1.1,1.0,16.1,17.7,2.1,10.0,6.1,10.6,1.5,0.3,10.2,24.4,G,HOUMINOKCSACSAS,martike02
81,Marcin Gortat,61.3,PHO,2,57,2005,,2007-08,2018-19,23-34,806,587,0,61.3,113,104,32.1,29.2,.142,0.0,0.4,0.4,12.7,17.1,9.7,25.4,17.5,6.9,0.9,3.3,12.2,17.0,C-F,LACORLPHOWAS,gortama01
82,Rudy Gay,61.0,HOU,1,8,2006,Connecticut,2006-07,2022-23,20-36,1120,779,0,61.0,105,108,26.9,34.2,.085,0.7,-0.2,0.6,22.4,16.3,4.8,15.9,10.3,11.1,1.8,1.9,12.0,24.2,F,MEMSACSASTORUTA,gayru01
83,Mike Miller,60.7,ORL,1,5,2000,Florida,2000-01,2016-17,20-36,1032,570,0,60.7,110,108,39.2,21.6,.105,1.2,-0.4,0.8,19.8,14.3,2.6,15.7,9.1,15.8,1.1,0.6,14.1,18.2,F-G,CLEDENMEMMIAMINORLWAS,millemi01
84,Jamal Crawford,60.7,CLE,1,8,2000,Michigan,2000-01,2019-20,20-39,1327,433,0,60.7,106,111,42.1,18.6,.075,1.3,-1.5,-0.1,18.4,15.1,1.4,7.3,4.3,19.7,1.6,0.5,11.9,24.1,G,ATLBRKCHIGSWLACMINNYKPHOPOR,crawfja01
85,Taj Gibson,60.5,CHI,1,26,2009,Southern California,2009-10,2025-26,24-40,1012,462,0,60.5,112,106,29.1,31.4,.125,-1.2,0.3,-0.9,6.5,15.1,10.3,17.2,13.8,6.4,1.2,3.3,12.1,16.6,F-C,CHICHODETMEMMINNYKOKCWAS,gibsota01
