--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,,,,,,,,Per 36 MP,,,,,,,,,,,,,,,,,,,,,,,,,-additional
Rk,Player,WS,Draft Team,Round,Pick,Draft Year,College,From,To,Age,G,GS,AS,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Team,-9999
322,Keldon Johnson,23.2,SAS,1,29,2019,Kentucky,2019-20,2025-26,20-26,452,232,0,7.3,15.4,5.4,9.9,2.0,5.5,3.1,4.1,1.7,5.3,7.0,2.6,0.9,0.3,1.6,2.5,19.7,.475,.544,.353,.767,.573,.539,G,SAS,johnske04
323,Jaden McDaniels,23.1,LAL,1,28,2020,Washington,2020-21,2025-26,20-25,439,363,0,5.4,11.0,3.8,6.7,1.5,4.3,1.4,1.8,1.4,3.8,5.2,2.1,1.2,1.1,1.5,3.8,13.7,.489,.572,.359,.774,.581,.559,F,MIN,mcdanja02
324,Joe Harris,23.1,CLE,2,33,2014,Virginia,2014-15,2023-24,23-32,504,283,0,5.5,11.6,2.5,4.7,3.0,6.9,1.1,1.4,0.8,3.7,4.5,2.3,0.7,0.3,1.5,3.0,15.2,.479,.542,.436,.771,.623,.609,G,BRKCLEDET,harrijo01
325,Desmond Mason,23.1,OKC,1,17,2000,Oklahoma State,2000-01,2009-10,23-32,643,385,0,5.4,12.0,5.3,11.5,0.1,0.5,3.4,4.6,1.5,3.8,5.2,1.9,0.8,0.4,1.9,2.6,14.2,.449,.456,.260,.740,.509,.454,F,MILNOKOKCSACSEA,masonde01
326,Joel Przybilla,23.0,HOU,1,9,2000,Minnesota,2000-01,2012-13,21-33,592,397,0,2.7,5.0,2.7,5.0,0.0,0.0,1.5,2.8,3.4,7.8,11.2,0.8,0.5,2.6,1.8,4.9,7.0,.552,.553,.000,.557,.568,.552,C,ATLCHAMILPOR,przybjo01
327,Maurice Harkless,23.0,PHI,1,15,2012,St. John's (NY),2012-13,2021-22,19-28,621,372,0,4.3,9.1,3.4,6.1,1.0,3.0,1.3,2.1,1.7,4.0,5.6,1.5,1.5,1.0,1.3,3.2,10.9,.474,.551,.320,.624,.544,.528,F-G,LACMIANYKORLPORSAC,harklma01
328,Bruce Brown,22.9,DET,2,42,2018,Miami (FL),2018-19,2025-26,22-29,539,272,0,4.9,10.3,4.0,7.7,0.9,2.7,1.9,2.4,1.5,4.5,6.0,3.5,1.4,0.7,1.6,3.4,12.6,.476,.521,.344,.767,.553,.520,G-F,BRKDENDETINDNOPTOR,brownbr01
329,Thomas Bryant,22.7,UTA,2,42,2017,Indiana,2017-18,2025-26,20-28,393,147,0,7.1,12.4,5.9,9.0,1.2,3.4,2.7,3.4,2.9,7.5,10.3,1.9,0.7,1.4,1.4,3.3,18.0,.573,.657,.348,.781,.649,.621,C,CLEDENINDLALMIAWAS,bryanth01
330,Spencer Hawes,22.6,SAC,1,10,2007,Washington,2007-08,2016-17,19-28,684,368,0,5.7,12.4,4.8,10.0,0.8,2.4,1.6,2.2,2.3,6.7,9.0,2.9,0.6,1.5,2.2,4.0,13.7,.457,.482,.350,.716,.514,.490,C-F,CHOCLELACMILPHISAC,hawessp01
331,Charlie Villanueva,22.6,TOR,1,7,2005,Connecticut,2005-06,2015-16,21-31,656,163,0,7.0,16.2,5.1,10.6,1.9,5.6,2.1,2.7,2.1,5.9,8.0,1.5,0.9,0.9,1.7,3.9,18.1,.435,.484,.341,.772,.520,.494,F,DALDETMILTOR,villach01
332,Amen Thompson,22.6,HOU,1,4,2023,,2023-24,2025-26,21-23,210,144,0,6.5,12.0,6.2,10.5,0.3,1.5,3.2,4.3,3.2,5.5,8.7,4.6,1.6,1.0,2.3,2.6,16.5,.541,.586,.219,.731,.593,.555,G-F,HOU,thompam01
333,Carlos Delfino,22.5,DET,1,25,2003,,2004-05,2012-13,22-30,507,170,0,4.6,11.4,2.5,5.6,2.1,5.8,1.5,2.0,0.9,4.8,5.6,2.8,1.4,0.3,1.6,2.6,12.8,.401,.438,.365,.758,.520,.494,G,DETHOUMILTOR,delfica01
334,Corey Brewer,22.5,MIN,1,7,2007,Florida,2007-08,2019-20,21-33,819,310,0,5.1,12.1,4.2,8.7,1.0,3.4,2.4,3.3,1.2,3.2,4.4,2.4,2.0,0.4,1.8,3.4,13.6,.425,.480,.284,.713,.502,.465,F-G,DALDENHOULALMINOKCPHISAC,breweco01
335,Tyler Herro,22.3,MIA,1,13,2019,Kentucky,2019-20,2025-26,20-26,394,245,1,7.8,17.4,4.8,9.5,3.0,7.9,2.9,3.3,0.5,5.0,5.5,4.5,0.8,0.2,2.5,1.6,21.6,.450,.507,.382,.878,.572,.537,G,MIA,herroty01
336,Trey Lyles,22.0,UTA,1,12,2015,Kentucky,2015-16,2024-25,20-29,650,131,0,5.3,12.1,3.4,6.5,1.9,5.6,2.2,3.0,1.8,6.7,8.5,2.1,0.8,0.7,1.6,2.8,14.8,.441,.523,.347,.741,.553,.521,F,DENDETSACSASUTA,lylestr01
337,J.J. Hickson,21.9,CLE,1,19,2008,NC State,2008-09,2015-16,20-27,534,307,0,6.2,12.2,6.2,12.2,0.0,0.1,3.0,4.8,3.5,7.4,11.0,1.4,0.8,0.9,2.3,3.1,15.3,.505,.508,.000,.617,.534,.505,F-C,CLEDENPORSACWAS,hicksjj01
338,O.J. Mayo,21.8,MIN,1,3,2008,Southern California,2008-09,2015-16,21-28,547,325,0,6.0,13.9,4.2,9.1,1.8,4.9,2.3,2.9,0.6,3.0,3.6,3.4,1.2,0.3,2.4,2.6,16.1,.429,.459,.373,.820,.530,.494,G,DALMEMMIL,mayooj01
339,Eddy Curry,21.7,CHI,1,4,2001,,2001-02,2012-13,19-30,527,411,0,7.1,13.0,7.1,13.0,0.0,0.0,4.6,7.1,2.6,4.9,7.5,0.8,0.4,1.1,3.2,4.3,18.7,.545,.544,1.000,.642,.581,.545,C,CHIDALMIANYK,curryed01
340,Doug McDermott,21.7,DEN,1,11,2014,Creighton,2014-15,2025-26,23-34,726,97,0,5.9,12.6,3.3,6.2,2.7,6.5,1.4,1.7,0.7,3.2,3.8,1.8,0.4,0.2,1.2,2.6,15.8,.468,.529,.410,.806,.592,.573,F,CHIDALINDNYKOKCSACSAS,mcderdo01
341,Kevin Huerter,21.7,ATL,1,19,2018,Maryland,2018-19,2025-26,20-27,551,395,0,5.7,12.8,3.0,5.6,2.7,7.3,1.0,1.3,0.7,3.7,4.5,3.8,1.2,0.5,1.6,2.8,15.0,.442,.540,.368,.762,.560,.547,G,ATLCHIDETSAC,huertke01
342,Deni Avdija,21.7,WAS,1,9,2020,,2020-21,2025-26,20-25,425,275,1,5.9,12.7,4.2,7.7,1.6,4.9,3.7,4.9,1.3,6.9,8.2,4.4,1.0,0.6,2.6,3.2,17.1,.462,.545,.333,.771,.578,.527,G-F,PORWAS,avdijde01
343,Nenad Krstić,21.5,NJN,1,24,2002,,2004-05,2010-11,21-27,419,373,0,5.9,11.9,5.9,11.9,0.0,0.0,2.6,3.6,2.6,5.1,7.7,1.2,0.6,1.0,1.7,4.3,14.4,.494,.495,.143,.730,.533,.494,C,BOSNJNOKC,krstine01
344,Reggie Bullock,21.4,LAC,1,25,2013,North Carolina,2013-14,2023-24,22-32,556,294,0,4.1,9.7,1.6,3.2,2.5,6.5,0.8,1.0,0.5,3.6,4.2,1.9,0.9,0.2,0.9,2.2,11.6,.424,.506,.385,.827,.570,.554,G-F,DALDETHOULACLALNYKPHO,bullore01
345,Stromile Swift,21.3,MEM,1,2,2000,Louisiana State,2000-01,2008-09,21-29,547,97,0,5.7,12.1,5.7,12.0,0.0,0.1,3.8,5.5,2.9,5.5,8.4,0.9,1.2,2.3,2.3,4.5,15.3,.473,.476,.074,.699,.527,.473,F,HOUMEMNJNPHOVAN,swiftst01
346,Chet Holmgren,21.2,OKC,1,2,2022,Gonzaga,2023-24,2025-26,21-23,183,183,1,7.5,14.1,5.8,9.3,1.8,4.8,3.7,4.7,2.1,8.3,10.3,2.6,0.8,2.7,2.0,2.9,20.5,.534,.619,.369,.785,.634,.596,F-C,OKC,holmgch01
347,Wayne Ellington,21.1,MIN,1,28,2009,North Carolina,2009-10,2021-22,22-34,770,206,0,5.0,12.2,2.3,5.1,2.7,7.1,1.1,1.4,0.5,3.1,3.7,1.9,0.9,0.1,1.1,2.0,13.8,.410,.450,.382,.843,.542,.522,G,BRKCLEDALDETLALMEMMIAMINNYK,ellinwa01
348,Michael Kidd-Gilchrist,21.0,CHA,1,2,2012,Kentucky,2012-13,2019-20,19-26,446,356,0,4.8,10.1,4.7,9.8,0.1,0.3,2.6,3.7,2.3,5.6,7.9,1.7,1.0,1.0,1.3,3.1,12.3,.474,.481,.272,.715,.524,.478,F,CHACHODAL,kiddgmi01
349,T.J. Warren,20.9,PHO,1,14,2014,NC State,2014-15,2023-24,21-30,385,236,0,7.9,15.6,7.0,13.0,0.9,2.7,2.4,3.0,1.7,3.6,5.3,1.5,1.2,0.6,1.3,3.0,19.1,.505,.537,.351,.780,.563,.535,F,BRKINDMINPHO,warretj01
350,Ömer Aşık,20.9,POR,2,36,2008,,2010-11,2017-18,24-31,471,262,0,3.7,7.0,3.7,7.0,0.0,0.0,2.3,4.1,4.0,9.1,13.1,1.1,0.7,1.3,2.1,3.6,9.7,.528,.528,.000,.551,.548,.528,C,CHIHOUNOP,asikom01
351,Dario Šarić,20.8,ORL,1,12,2014,,2016-17,2025-26,22-31,498,230,0,5.9,13.3,3.8,7.6,2.1,5.7,2.7,3.2,2.2,6.3,8.5,3.0,0.9,0.3,2.3,3.2,16.6,.443,.506,.360,.838,.562,.521,F-C,DENGSWMINOKCPHIPHOSAC,saricda01
352,Nikola Mirotić,20.8,HOU,1,23,2011,,2014-15,2018-19,23-27,319,95,0,6.1,14.4,3.2,6.4,2.9,8.0,3.2,4.0,1.4,7.4,8.8,1.9,1.1,1.1,1.8,3.1,18.2,.423,.502,.359,.808,.565,.522,F,CHIMILNOP,mirotni01
353,Kwame Brown,20.8,WAS,1,1,2001,,2001-02,2012-13,19-30,607,281,0,4.1,8.3,4.1,8.3,0.0,0.0,2.7,4.7,2.9,6.0,9.0,1.5,0.9,1.0,2.1,3.7,10.8,.492,.493,.111,.570,.523,.492,F,CHADETGSWLALMEMPHIWAS,brownkw01
354,Rasual Butler,20.8,MIA,2,53,2002,La Salle,2002-03,2015-16,23-36,809,266,0,4.8,11.9,2.9,6.6,1.9,5.3,1.2,1.7,0.6,3.4,4.0,1.4,0.6,0.9,1.1,2.4,12.7,.403,.437,.362,.747,.505,.483,F-G,CHIINDLACMIANOHNOKSASTORWAS,butlera01
355,John Henson,20.7,MIL,1,14,2012,North Carolina,2012-13,2019-20,22-29,445,160,0,5.9,10.9,5.8,10.6,0.1,0.3,2.0,3.5,3.3,6.4,9.7,2.0,0.9,2.6,2.0,4.1,13.9,.540,.549,.250,.568,.557,.544,C-F,CLEDETMIL,hensojo01
356,Keith Bogans,20.4,MIL,2,43,2003,Kentucky,2003-04,2013-14,23-33,671,333,0,3.7,9.3,1.9,4.3,1.8,5.0,1.4,2.0,1.0,3.5,4.5,2.1,1.1,0.2,1.4,3.0,10.5,.394,.442,.353,.716,.517,.489,G-F,BOSBRKCHACHIHOUMILNJNORLSAS,boganke01
357,Hakim Warrick,20.4,MEM,1,19,2005,Syracuse,2005-06,2012-13,23-30,526,108,0,6.0,12.3,5.9,11.9,0.1,0.4,4.7,6.4,2.3,4.8,7.2,1.4,0.7,0.5,2.1,3.3,16.8,.490,.499,.191,.726,.555,.493,F,CHACHIMEMMILNOHPHO,warriha01
358,Jason Maxiell,20.3,DET,1,26,2005,Cincinnati,2005-06,2014-15,22-31,618,188,0,4.4,8.9,4.4,8.9,0.0,0.0,2.2,3.8,3.3,4.8,8.1,0.8,0.7,1.6,1.5,3.8,11.0,.495,.496,.000,.564,.518,.495,F-C,CHODETORL,maxieja01
359,Tre Jones,20.3,SAS,2,41,2020,Duke,2020-21,2025-26,21-26,362,175,0,5.8,11.5,5.0,8.9,0.8,2.6,2.6,3.0,1.0,3.6,4.5,7.6,1.4,0.2,1.8,1.9,14.9,.503,.558,.312,.840,.582,.538,G,CHISAS,jonestr01
360,Tyler Hansbrough,20.2,IND,1,13,2009,North Carolina,2009-10,2015-16,24-30,428,50,0,4.7,10.7,4.7,10.6,0.0,0.1,4.9,6.6,3.7,5.3,9.0,0.9,1.0,0.5,1.6,4.3,14.3,.439,.442,.136,.738,.525,.440,F,CHOINDTOR,hansbty01
361,Evan Turner,20.2,PHI,1,2,2010,Ohio State,2010-11,2019-20,22-31,705,295,0,5.2,12.0,4.7,10.3,0.5,1.7,2.0,2.6,0.7,5.5,6.2,4.7,1.0,0.3,2.4,2.6,13.0,.434,.458,.294,.782,.493,.455,G,ATLBOSINDPHIPOR,turneev01
362,Bobby Simmons,20.1,OKC,2,42,2001,DePaul,2001-02,2011-12,21-31,466,228,0,4.8,11.1,3.7,8.1,1.2,3.0,2.2,2.7,1.7,3.9,5.6,2.2,1.2,0.3,1.6,3.6,13.1,.437,.452,.396,.823,.533,.490,G-F,LACMILNJNSASWAS,simmobo01
363,Malik Beasley,20.1,DEN,1,19,2016,Florida State,2016-17,2024-25,20-28,578,209,0,6.4,14.9,2.6,5.2,3.8,9.7,1.1,1.5,0.7,3.6,4.2,2.1,1.0,0.2,1.2,2.0,17.7,.426,.491,.391,.769,.567,.553,G,DENDETLALMILMINUTA,beaslma01
364,Jason Collins,20.1,HOU,1,18,2001,Stanford,2001-02,2013-14,23-35,735,477,0,2.2,5.4,2.2,5.3,0.0,0.1,1.9,2.9,2.2,4.3,6.5,1.5,0.9,0.9,1.5,4.9,6.3,.411,.414,.206,.647,.474,.412,C,ATLBOSBRKMEMMINNJNWAS,collija04
365,Marcus Thornton,20.0,MIA,2,43,2009,Louisiana State,2009-10,2016-17,22-29,483,135,0,6.8,15.9,4.4,9.4,2.3,6.5,2.4,2.9,1.3,3.0,4.3,2.2,1.3,0.2,1.6,2.4,18.3,.425,.471,.358,.830,.531,.498,G,BOSBRKHOUNOHPHOSACWAS,thornma01
366,Saddiq Bey,20.0,NJN,1,19,2020,Villanova,2020-21,2025-26,21-26,364,287,0,5.9,14.1,3.3,6.7,2.6,7.4,3.1,3.7,1.7,4.5,6.3,2.3,1.0,0.2,1.1,1.8,17.5,.418,.487,.355,.842,.557,.510,F,ATLDETNOP,beysa01
367,Eddie House,20.0,MIA,2,37,2000,Arizona State,2000-01,2010-11,22-32,717,31,0,6.0,14.7,3.7,8.7,2.4,6.1,1.1,1.3,0.5,3.1,3.5,3.2,1.4,0.2,1.7,2.7,15.5,.409,.423,.390,.851,.508,.490,G,BOSCHALACMIAMILNJNNYKPHOSAC,houseed01
368,Nemanja Bjelica,20.0,WAS,2,35,2010,,2015-16,2021-22,27-33,449,162,0,5.0,10.8,3.1,5.7,2.0,5.1,1.4,1.8,1.9,6.1,8.0,3.2,1.1,0.7,1.8,4.2,13.4,.466,.539,.384,.759,.578,.556,F,GSWMIAMINSAC,bjeline01
369,Coby White,19.9,CHI,1,7,2019,North Carolina,2019-20,2025-26,19-25,472,251,0,6.7,15.3,3.8,7.6,2.9,7.8,2.8,3.2,0.5,4.0,4.5,4.7,0.8,0.2,2.3,2.6,19.0,.434,.502,.369,.856,.565,.528,G,CHICHO,whiteco01
370,LaMelo Ball,19.8,CHA,1,3,2020,,2020-21,2025-26,19-24,303,280,1,8.5,20.4,4.8,10.1,3.7,10.2,3.4,4.0,1.4,5.3,6.6,8.5,1.6,0.4,3.7,3.5,24.2,.418,.471,.365,.847,.546,.510,G,CHO,ballla01
371,Collin Sexton,19.7,CLE,1,8,2018,Alabama,2018-19,2025-26,20-27,475,357,0,8.2,17.4,6.3,12.6,1.9,4.9,4.4,5.3,1.0,2.4,3.4,4.5,1.0,0.2,2.9,2.8,22.8,.472,.504,.389,.841,.577,.526,G,CHICHOCLEUTA,sextoco01
372,Mickaël Piétrus,19.7,GSW,1,11,2003,,2003-04,2012-13,21-30,557,172,0,4.9,11.5,2.8,5.8,2.0,5.8,2.1,3.2,1.3,3.9,5.2,1.3,1.1,0.7,1.7,3.8,13.9,.425,.495,.355,.665,.540,.514,G-F,BOSGSWORLPHOTOR,pietrmi01
373,Omri Casspi,19.6,SAC,1,23,2009,,2009-10,2018-19,21-30,588,145,0,5.2,11.4,3.7,7.4,1.5,4.0,2.1,3.2,1.4,5.7,7.1,2.0,1.1,0.4,1.8,2.8,14.0,.454,.502,.368,.678,.547,.520,F,CLEGSWHOUMEMMINNOPSAC,casspom01
374,Isaiah Stewart,19.5,POR,1,16,2020,Washington,2020-21,2025-26,19-24,365,194,0,5.1,9.9,4.2,7.2,0.9,2.7,1.9,2.6,3.3,6.8,10.0,1.9,0.6,1.7,1.7,4.0,13.1,.514,.578,.343,.737,.590,.561,F-C,DET,stewais01
375,Ryan Gomes,19.4,BOS,2,50,2005,Providence,2005-06,2013-14,23-31,487,371,0,5.1,11.4,4.2,8.8,0.9,2.6,2.2,2.7,1.6,4.3,6.0,1.9,0.9,0.2,1.5,2.5,13.2,.445,.473,.349,.799,.525,.484,F,BOSLACMINOKC,gomesry01
376,Goga Bitadze,19.3,IND,1,18,2019,,2019-20,2025-26,20-26,383,100,0,5.4,9.6,5.0,7.8,0.4,1.8,2.4,3.5,4.1,6.5,10.6,2.9,1.1,2.6,1.8,4.7,13.6,.561,.638,.229,.671,.607,.582,C,INDORL,bitadgo01
377,Ronny Turiaf,19.2,LAL,2,37,2005,Gonzaga,2005-06,2014-15,23-32,473,105,0,3.8,7.2,3.8,7.2,0.0,0.0,2.2,3.5,2.3,5.6,7.9,2.8,0.8,2.7,1.6,5.0,9.9,.533,.535,.000,.636,.566,.533,F,GSWLACLALMIAMINNYKWAS,turiaro01
378,Aaron Brooks,19.2,HOU,1,26,2007,Oregon,2007-08,2017-18,23-33,645,183,0,6.1,14.7,3.9,8.7,2.2,5.9,2.5,2.9,0.7,2.2,2.9,5.2,1.0,0.2,2.7,3.3,16.8,.413,.442,.370,.837,.525,.488,G,CHIDENHOUINDMINPHOSAC,brookaa01
379,Earl Watson,19.2,OKC,2,40,2001,UCLA,2001-02,2013-14,22-34,878,227,0,3.9,9.5,3.0,6.6,0.9,2.9,1.6,2.3,0.9,2.8,3.7,7.1,1.6,0.3,2.9,3.2,10.3,.411,.449,.324,.703,.492,.460,G,DENINDMEMOKCPORSEAUTA,watsoea01
380,Andray Blatche,19.2,WAS,2,49,2005,,2005-06,2013-14,19-27,564,191,0,6.7,14.4,6.6,13.8,0.2,0.6,2.9,4.0,3.0,5.7,8.7,2.3,1.4,1.3,2.6,4.0,16.5,.467,.478,.237,.725,.511,.472,F,BRKWAS,blatcan01
381,Mike Muscala,19.2,DAL,2,44,2013,Bucknell,2013-14,2023-24,22-32,548,45,0,5.0,11.1,2.7,5.0,2.3,6.1,1.7,2.1,1.9,5.6,7.4,2.0,0.8,1.1,1.3,3.4,14.0,.451,.544,.373,.830,.583,.553,F-C,ATLBOSDETLALOKCPHIWAS,muscami01
382,DeJuan Blair,19.0,SAS,2,37,2009,Pittsburgh,2009-10,2015-16,20-26,424,179,0,6.3,12.1,6.3,12.1,0.0,0.0,1.9,3.2,4.1,6.9,11.0,1.8,1.6,0.6,2.4,5.1,14.6,.524,.526,.000,.608,.541,.524,F-C,DALSASWAS,blairde01
383,Isaiah Joe,19.0,PHI,2,49,2020,Arkansas,2020-21,2025-26,21-26,392,38,0,5.5,12.6,1.5,2.9,4.0,9.8,1.7,2.0,0.8,3.5,4.3,2.4,1.1,0.3,1.0,2.6,16.7,.436,.538,.406,.855,.618,.593,G,OKCPHI,joeis01
384,Gary Trent Jr.,19.0,SAC,2,37,2018,Duke,2018-19,2025-26,20-27,480,231,0,6.1,14.5,3.0,6.4,3.1,8.1,1.8,2.2,0.4,2.4,2.9,1.9,1.4,0.2,0.9,2.0,17.1,.420,.461,.387,.819,.553,.528,G,MILPORTOR,trentga02
385,Andrea Bargnani,18.9,TOR,1,1,2006,,2006-07,2015-16,21-30,550,377,0,6.7,15.2,5.2,11.2,1.4,4.0,3.1,3.8,1.2,4.6,5.8,1.5,0.5,1.1,1.9,3.0,17.9,.439,.470,.354,.824,.531,.486,F-C,BRKNYKTOR,bargnan01
386,Nikola Peković,18.8,MIN,2,31,2008,,2010-11,2015-16,25-30,271,194,0,7.0,13.5,7.0,13.5,0.0,0.0,4.1,5.5,4.3,5.4,9.6,1.1,0.7,0.8,2.2,3.4,18.2,.518,.518,,.760,.570,.518,C,MIN,pekovni01
387,Rui Hachimura,18.7,WAS,1,9,2019,Gonzaga,2019-20,2025-26,21-27,405,264,0,6.4,12.8,4.8,8.8,1.6,4.0,1.9,2.6,1.2,4.7,6.0,1.6,0.8,0.4,1.1,2.1,16.3,.499,.546,.394,.758,.584,.560,F,LALWAS,hachiru01
388,Jerryd Bayless,18.6,IND,1,11,2008,Arizona,2008-09,2018-19,20-30,586,99,0,5.0,12.1,3.5,8.1,1.4,4.0,2.8,3.4,0.5,3.1,3.6,4.8,1.1,0.2,2.4,3.5,14.2,.411,.436,.361,.818,.522,.471,G,BOSMEMMILMINNOHPHIPORTOR,bayleje01
389,Jarred Vanderbilt,18.6,ORL,2,41,2018,Kentucky,2018-19,2025-26,19-26,374,173,0,4.2,7.6,3.8,6.3,0.4,1.3,1.6,2.5,3.5,7.5,10.9,2.6,1.9,0.7,1.7,3.6,10.3,.546,.600,.290,.633,.590,.572,F,DENLALMINUTA,vandeja01
390,Dāvis Bertāns,18.6,IND,2,42,2011,,2016-17,2023-24,24-31,475,41,0,5.0,11.8,1.3,2.4,3.7,9.4,1.7,2.0,0.6,4.3,4.9,1.9,0.9,0.7,1.1,3.2,15.4,.422,.523,.396,.863,.607,.580,F,CHODALOKCSASWAS,bertada01
391,Nick Young,18.6,WAS,1,16,2007,Southern California,2007-08,2018-19,22-33,720,201,0,6.3,15.2,4.1,9.1,2.3,6.1,3.0,3.6,0.6,2.6,3.1,1.5,0.9,0.3,1.6,2.9,18.0,.418,.446,.376,.836,.536,.493,G-F,DENGSWLACLALPHIWAS,youngni01
392,Glen Davis,18.6,OKC,2,35,2007,Louisiana State,2007-08,2014-15,22-29,514,121,0,5.3,12.0,5.3,11.8,0.0,0.2,2.9,4.1,2.4,5.0,7.4,1.5,1.2,0.6,1.7,4.1,13.6,.447,.451,.182,.700,.494,.448,F-C,BOSLACORL,davisgl01
393,Tony Snell,18.5,CHI,1,20,2013,New Mexico,2013-14,2021-22,22-30,601,310,0,3.7,8.5,1.7,3.4,2.0,5.1,0.8,0.9,0.5,3.3,3.8,1.8,0.7,0.4,0.9,2.3,10.1,.431,.486,.394,.846,.567,.549,G-F,ATLCHIDETMILNOPPOR,snellto01
394,Keyon Dooling,18.5,ORL,1,10,2000,Missouri,2000-01,2012-13,20-32,728,86,0,4.6,11.1,3.5,7.8,1.1,3.3,2.5,3.2,0.3,2.1,2.5,4.1,1.2,0.2,2.0,3.1,12.9,.416,.443,.349,.799,.516,.467,G,BOSLACMEMMIAMILNJNORL,doolike01
395,Josh McRoberts,18.5,POR,2,37,2007,Duke,2007-08,2017-18,20-30,433,179,0,4.0,8.6,3.1,6.1,0.9,2.5,1.3,1.9,2.0,5.3,7.3,3.9,1.0,0.8,1.7,3.6,10.2,.463,.514,.340,.705,.539,.513,F-C,CHADALINDLALMIAORLPOR,mcrobjo01
396,Gerald Green,18.4,BOS,1,18,2005,,2005-06,2018-19,20-33,658,118,0,6.4,15.3,3.7,8.0,2.7,7.4,2.3,2.8,0.9,3.7,4.5,1.6,0.9,0.5,2.0,3.4,17.7,.417,.469,.361,.818,.535,.504,G-F,BOSDALHOUINDMIAMINNJNPHO,greenge01
397,Jabari Smith Jr.,18.3,HOU,1,3,2022,Auburn,2022-23,2025-26,19-22,289,271,0,5.5,12.6,3.5,6.7,2.1,5.9,2.2,2.8,1.8,6.3,8.2,1.6,0.7,1.0,1.4,2.9,15.4,.437,.518,.347,.796,.553,.519,F-C,HOU,smithja05
398,Gerald Henderson,18.3,CHA,1,12,2009,Duke,2009-10,2016-17,22-29,535,333,0,5.8,13.3,5.2,11.3,0.6,2.0,3.2,4.1,0.8,3.6,4.5,2.6,0.9,0.5,1.7,2.4,15.6,.440,.460,.327,.793,.516,.464,G,CHACHOPHIPOR,hendege02
399,Francisco García,18.2,SAC,1,23,2005,Louisville,2005-06,2014-15,24-33,549,137,0,4.8,11.1,3.0,6.2,1.8,4.9,1.9,2.3,0.8,3.4,4.3,2.3,1.3,1.2,1.7,3.7,13.1,.427,.484,.357,.799,.541,.507,F-G,HOUSAC,garcifr01
400,Isaac Okoro,18.2,CLE,1,5,2020,Auburn,2020-21,2025-26,20-25,397,300,0,4.1,8.8,2.7,4.9,1.4,3.9,1.8,2.4,1.3,2.5,3.8,2.2,1.1,0.5,1.1,3.1,11.4,.465,.559,.347,.741,.575,.542,G-F,CHICLE,okorois01


Provided by <a href="https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool">Stathead</a>: <a href="https://www.sports-reference.com/stathead/basketball/player-season-finder.cgi?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool">Found with Stathead. See Full Results.</a><br>Generated 5/5/2026.--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,,,,,,,,Per 36 MP,,,,,,,,,,,,,,,,,,,,,,,,,-additional
Rk,Player,WS,Draft Team,Round,Pick,Draft Year,College,From,To,Age,G,GS,AS,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Team,-9999
401,Tomáš Satoranský,17.9,WAS,2,32,2012,,2016-17,2021-22,25-30,388,182,0,4.2,8.9,3.2,6.1,1.0,2.8,1.9,2.3,1.3,3.4,4.7,6.6,1.3,0.3,2.1,2.7,11.2,.468,.520,.354,.820,.564,.523,G,CHINOPSASWAS,satorto01
402,Moritz Wagner,17.9,LAL,1,25,2018,Michigan,2018-19,2025-26,21-28,399,57,0,7.1,13.6,5.5,8.8,1.6,4.8,4.2,5.2,2.2,6.4,8.6,2.6,1.1,0.6,2.4,4.7,19.9,.518,.625,.323,.808,.624,.575,F-C,BOSLALORLWAS,wagnemo01
403,Kyle O'Quinn,17.8,ORL,2,49,2012,Norfolk State,2012-13,2019-20,22-29,472,65,0,5.8,11.3,5.7,10.5,0.2,0.8,2.0,2.7,3.4,8.2,11.6,3.4,1.0,2.4,2.5,5.1,13.8,.517,.539,.218,.740,.554,.524,F-C,INDNYKORLPHI,oquinky01
404,Obi Toppin,17.7,NYK,1,8,2020,Dayton,2020-21,2025-26,22-27,386,50,0,7.0,13.4,4.7,7.1,2.2,6.3,1.9,2.5,1.5,5.7,7.2,2.6,0.9,0.7,1.5,2.7,18.1,.521,.667,.355,.786,.626,.604,F,INDNYK,toppiob01
405,Lance Stephenson,17.5,IND,2,40,2010,Cincinnati,2010-11,2021-22,20-31,554,200,0,5.4,12.0,4.3,8.7,1.1,3.4,1.7,2.4,1.0,5.4,6.4,4.6,1.0,0.2,2.6,3.1,13.5,.445,.496,.314,.694,.513,.489,G-F,ATLCHOINDLACLALMEMMINNOP,stephla01
406,Victor Wembanyama,17.5,SAS,1,1,2023,,2023-24,2025-26,20-22,181,172,2,9.9,20.4,7.3,12.9,2.6,7.5,5.4,6.6,2.4,10.6,13.1,4.2,1.3,4.1,3.7,2.7,27.7,.484,.567,.342,.817,.594,.547,C-F,SAS,wembavi01
