--- When using SR data, please cite us and provide a link and/or a mention.


 
Rk,Player,PTS,Draft Team,Round,Pick,Draft Year,Draft College,From,To,G,GS,WS,ORtg,DRtg,OWS,DWS,WS/40,OBPM,DBPM,BPM,PER,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Pos,Team,Player-additional
96,Josh Hart,1921,UTA,1,30,2017,Villanova,2013-14,2016-17,146,77,22.9,125,95,14.4,8.5,.224,6.4,3.4,9.8,23.7,7.8,15.6,12.0,13.3,2.4,1.2,11.0,22.7,G,Villanova,josh-hart-1
97,Carsen Edwards,1920,PHI,2,33,2019,Purdue,2016-17,2018-19,108,94,13.6,110,100,8.4,5.1,.171,5.4,1.7,7.1,21.2,1.6,11.3,6.7,17.7,2.3,0.8,12.1,32.2,G,Purdue,carsen-edwards-1
98,JaJuan Johnson,1919,NJN,1,27,2011,Purdue,2007-08,2010-11,140,119,21.8,115,90,10.3,11.5,.226,7.0,3.5,10.5,26.8,8.4,19.1,13.2,6.0,1.6,6.7,9.8,26.9,F,Purdue,jajuan-johnson-1
99,Mardy Collins,1919,NYK,1,29,2006,Temple,2002-03,2005-06,125,124,13.2,,,1.4,11.8,.113,,,,,,,6.9,22.6,,0.6,11.2,26.1,G,Temple,mardy-collins-1
100,Damion James,1917,ATL,1,24,2010,Texas,2006-07,2009-10,142,140,20.7,120,88,7.8,12.8,.199,,,,28.8,11.0,23.9,16.6,7.5,3.0,3.0,12.7,23.7,F,Texas,damion-james-1
101,Jarrell Brantley,1914,IND,2,50,2019,College of Charleston,2015-16,2018-19,123,119,16.3,108,96,8.3,7.9,.167,1.8,1.4,3.2,22.8,7.0,22.6,14.9,12.0,2.3,2.6,15.7,27.5,F,College of Charleston,jarrell-brantley-1
102,Nolan Smith,1911,POR,1,21,2011,Duke,2007-08,2010-11,143,97,18.3,117,97,11.6,6.7,.190,7.5,2.3,9.9,22.9,3.5,7.9,5.7,21.1,2.1,0.4,14.4,25.6,G,Duke,nolan-smith-1
103,Russ Smith,1908,PHI,2,47,2014,Louisville,2010-11,2013-14,133,80,17.1,108,89,8.8,8.3,.212,4.7,4.7,9.4,23.5,3.4,9.4,6.4,25.0,4.7,0.3,14.9,32.6,G,Louisville,russ-smith-1
104,Keith Benson,1903,ATL,2,48,2011,Oakland,2007-08,2010-11,135,126,19.7,122,97,12.8,6.9,.218,3.6,1.9,5.4,29.4,10.3,25.1,17.3,5.2,1.1,8.8,10.3,23.7,C,Oakland,keith-benson-1
105,Rodney Carney,1901,CHI,1,16,2006,Memphis,2002-03,2005-06,133,101,16.4,,,6.8,9.6,.180,,,,,,,11.6,8.9,,3.1,9.7,26.2,F,Memphis,rodney-carney-1
106,Jeffery Taylor,1897,CHA,2,31,2012,Vanderbilt,2008-09,2011-12,134,133,16.4,111,99,10.4,6.0,.167,5.0,1.6,6.6,21.7,7.8,12.9,11.2,14.3,2.2,1.5,15.5,26.0,F,Vanderbilt,jeffery-taylor-1
107,Matt Freije,1891,MIA,2,53,2004,Vanderbilt,2000-01,2003-04,121,111,13.7,,,9.2,4.5,.158,,,,,,,9.8,8.0,,1.1,9.3,28.0,F,Vanderbilt,matt-freije-1
108,Frank Mason,1885,SAC,2,34,2017,Kansas,2013-14,2016-17,145,113,19.2,120,102,12.8,6.4,.176,5.3,3.2,8.5,19.6,2.2,10.3,6.5,24.4,2.2,0.2,14.1,21.8,G,Kansas,frank-mason-1
109,Sam Young,1884,MEM,2,36,2009,Pittsburgh,2005-06,2008-09,143,78,19.7,,,9.1,10.5,.216,,,,,,,11.4,7.9,,2.3,13.8,26.9,F,Pittsburgh,sam-young-1
110,C.J. Wilcox,1880,LAC,1,28,2014,Washington,2010-11,2013-14,131,83,15.5,120,105,11.7,3.7,.166,6.3,1.6,7.9,21.1,3.3,10.8,6.9,11.9,1.7,2.6,9.8,24.1,G,Washington,cj-wilcox-1
111,Michael Redd,1879,MIL,2,43,2000,Ohio State,1997-98,1999-00,96,96,11.4,,,6.0,5.4,.137,,,,,,,,,,,12.3,,G,Ohio State,michael-redd-1
112,Cam Spencer,1869,DET,2,53,2024,Connecticut,2019-20,2023-24,132,116,21.7,126,98,14.1,7.6,.203,5.1,2.6,7.7,21.9,2.8,12.7,7.8,19.9,2.9,0.6,9.1,20.6,G,ConnecticutLoyola (MD)Rutgers,cam-spencer-1
113,Adam Morrison,1867,CHA,1,3,2006,Gonzaga,2003-04,2005-06,95,62,14.1,,,10.5,3.6,.193,,,,,,,9.4,17.4,,0.9,9.4,26.7,F,Gonzaga,adam-morrison-1
