--- When using SR data, please cite us and provide a link and/or a mention.


 
Rk,Player,PTS,STL%,BLK%,OBPM,DBPM,PER,ORB%,DRB%,TS%,3PAr,eFG%,Draft Team,Round,Pick,Draft Year,Draft College,From,To,G,GS,WS,ORtg,DRtg,OWS,DWS,WS/40,OBPM,DBPM,BPM,PER,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Pos,Team,Player-additional
63,Robbie Hummel,1772,1.6,3.2,7.8,1.6,26.7,5.9,22.7,.577,.422,.525,MIN,2,58,2012,Purdue,2007-08,2011-12,127,120,22.2,123,96,12.8,9.3,.232,7.8,1.6,9.4,26.7,5.9,22.7,13.7,13.8,1.6,3.2,8.2,24.2,F,Purdue,robbie-hummel-1
64,Jevon Carter,1758,4.4,1.0,4.7,5.1,19.9,3.2,11.7,.534,.471,.491,MEM,2,32,2018,West Virginia,2014-15,2017-18,144,112,19.8,116,94,10.4,9.4,.184,4.7,5.1,9.9,19.9,3.2,11.7,7.1,24.3,4.4,1.0,13.8,21.0,G,West Virginia,jevon-carter-1
65,Klay Thompson,1756,2.6,2.7,6.8,3.0,23.6,3.3,13.8,.550,.438,.509,GSW,1,11,2011,Washington State,2008-09,2010-11,98,96,13.4,108,100,7.9,5.5,.159,6.8,3.0,9.8,23.6,3.3,13.8,8.7,20.3,2.6,2.7,15.3,31.9,G,Washington State,klay-thompson-1
66,Devonte' Graham,1750,2.5,0.3,5.2,3.1,18.2,1.7,8.9,.578,.558,.536,ATL,2,34,2018,Kansas,2014-15,2017-18,142,111,18.4,120,102,12.0,6.4,.164,5.2,3.1,8.3,18.2,1.7,8.9,5.5,23.6,2.5,0.3,15.1,19.7,G,Kansas,devonte-graham-1
67,DaRon Holmes II,1745,1.3,7.5,6.1,3.4,28.2,8.1,19.3,.629,.102,.606,PHO,1,22,2024,Dayton,2021-22,2023-24,102,102,19.4,122,94,12.2,7.2,.235,6.1,3.4,9.5,28.2,8.1,19.3,14.1,13.3,1.3,7.5,12.5,26.3,F,Dayton,daron-holmesii-1
68,Erick Green,1742,2.6,0.8,5.9,2.5,21.9,1.9,9.1,.543,.305,.488,UTA,2,46,2013,Virginia Tech,2009-10,2012-13,129,89,15.4,115,103,11.4,4.0,.169,5.9,2.5,8.4,21.9,1.9,9.1,5.4,21.1,2.6,0.8,10.0,25.3,G,Virginia Tech,erick-green-1
69,Dalton Knecht,1739,1.2,2.0,5.1,0.1,21.1,2.7,17.1,.579,.435,.545,LAL,1,17,2024,Tennessee,2021-22,2023-24,103,79,11.2,113,106,8.0,3.2,.146,5.1,0.1,5.2,21.1,2.7,17.1,10.0,10.9,1.2,2.0,10.6,27.5,G,Northern ColoradoTennessee,dalton-knecht-1
70,Jerian Grant,1739,2.6,0.9,5.1,1.8,21.4,1.4,8.4,.563,.407,.506,WAS,1,19,2015,Notre Dame,2011-12,2014-15,119,117,18.4,118,104,13.9,4.5,.170,5.1,1.8,6.9,21.4,1.4,8.4,5.0,31.9,2.6,0.9,14.7,23.1,G,Notre Dame,jerian-grant-1
71,Jaron Blossomgame,1733,1.3,2.6,4.5,1.6,21.6,7.3,17.3,.564,.236,.525,SAS,2,59,2017,Clemson,2013-14,2016-17,128,125,16.0,115,101,10.0,6.0,.163,4.5,1.6,6.2,21.6,7.3,17.3,12.3,8.3,1.3,2.6,11.0,23.4,F,Clemson,jaron-blossomgame-1
72,Damyean Dotson,1732,1.5,0.6,5.2,1.0,19.5,4.9,15.1,.574,.460,.551,NYK,2,44,2017,Oregon,2012-13,2016-17,134,133,16.2,119,101,10.5,5.7,.166,5.2,1.0,6.2,19.5,4.9,15.1,10.0,7.7,1.5,0.6,9.3,21.5,G,HoustonOregon,damyean-dotson-1
73,Isaiah Thomas,1721,2.1,0.2,6.2,1.9,21.5,2.3,10.7,.538,.388,.489,SAC,2,60,2011,Washington,2008-09,2010-11,105,104,13.2,115,100,8.5,4.7,.165,6.2,1.9,8.1,21.5,2.3,10.7,6.5,26.2,2.1,0.2,14.8,26.6,G,Washington,isaiah-thomas-1
